Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker,Month_Num,Year,Volatility_Level,Prev_Month_Return,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2025-04-01,-0.0006395679770488,-0.0897912929848725,0.1197703152630624,0.0423897871119647,AMZN,4,2025,Medium,-0.0049859199772273,41.50982579841855,-6.291866584969212,188.4320712498256,185.05367334416272
2024-05-01,-0.0001899084181633,-0.0376163517800117,0.0665905079079254,0.0259708874946624,TSLA,5,2024,Medium,,53.01535197365583,2.0243497170192057,172.02359067743475,175.02371148304982
2024-06-01,0.0058222190960019,-0.0244424107197361,0.0529745981999238,0.0235164309398569,TSLA,6,2024,Medium,-0.0001899084181633,54.88964088357481,1.7573870314246651,177.85544758846885,179.16002286237278
2024-07-01,0.0085467722302456,-0.1233460458940369,0.1019727143535937,0.0512049622415074,TSLA,7,2024,High,0.0058222190960019,66.73959694716667,14.149249462578853,218.84409054842862,229.5524405764543
2024-08-01,-0.0030044269152913,-0.0655405965175744,0.0633627678888044,0.0368845130776759,TSLA,8,2024,Medium,0.0085467722302456,46.32036566947338,-2.7023445884165938,219.53731907931243,214.04324654609638
2024-09-01,0.0106266459654426,-0.0844593239607937,0.0735915556570718,0.0340443067504331,TSLA,9,2024,Medium,-0.0030044269152913,58.575440451439455,4.1565766520321885,219.8868760681152,225.58864068364423
2024-10-01,-0.0007068067773868,-0.087825107197193,0.2191903507029042,0.0544004941979319,TSLA,10,2024,High,0.0106266459654426,50.731957197863146,2.745320632592241,240.04889148214588,238.99856357606063
2024-11-01,0.017484534882286,-0.0614571707589285,0.1475103244422446,0.0510899560098389,TSLA,11,2024,High,-0.0007068067773868,66.10658628960746,19.476231991493954,273.8574995422363,294.47516894239203
2024-12-01,0.008333878673975,-0.0827949436951747,0.0735717422822457,0.0416890553940386,TSLA,12,2024,Medium,0.017484534882286,68.73062378464964,30.529747695774642,371.860024297805,391.4750815993018
2025-01-01,0.0006854326819144,-0.0608161593237648,0.0821556732820003,0.0356198848144448,TSLA,1,2025,Medium,0.008333878673975,50.59651915073944,7.317196073670013,417.39532341003417,410.8018593094197
2025-02-01,-0.0162086813916129,-0.0838955952220366,0.0577397168343194,0.0364653066601669,TSLA,2,2025,Medium,0.0006854326819144,36.98995957332016,-13.098799925351312,382.02202525891755,366.89705506005777
2025-03-01,-0.0041281103083777,-0.1542620682219512,0.1193358012680052,0.0590955444652046,TSLA,3,2025,High,-0.0162086813916129,35.08484384745279,-27.572573158315425,288.3364050728934,271.78502389986585
2025-04-01,0.0063113474749963,-0.1041978682681468,0.2268998983962453,0.0707874003722481,TSLA,4,2025,High,-0.0041281103083777,47.64631893664451,-8.08037834768347,255.08995303199404,255.97154753031623
2024-05-01,0.0137528951929442,-0.037666002587635,0.0931966594532665,0.0307014855284011,NVDA,5,2024,Medium,,54.591640184011155,-1.238818282156516,88.5988528511741,91.50027715380219
2024-06-01,0.0068443399079778,-0.0668404911581939,0.0675641475188599,0.0336304852078739,NVDA,6,2024,Medium,0.0137528951929442,68.56494632778625,7.33974339581755,112.59567706459448,118.53114735977856
2024-07-01,-0.0015115556203498,-0.070436348367472,0.1281209562539556,0.0449952167416032,NVDA,7,2024,Medium,0.0068443399079778,50.59812932241405,1.9768262749099108,125.4259932084517,123.95364572246854
2024-08-01,0.00172563632516,-0.0667405969572065,0.0653091415424442,0.0413707323135072,NVDA,8,2024,Medium,-0.0015115556203498,50.85629263186379,-0.8350816031706249,114.87750601335006,115.59332968318449
2024-09-01,0.001489724065632,-0.0952500957345541,0.0814986976710563,0.036101208192604,NVDA,9,2024,Medium,0.00172563632516,49.078451215193795,-0.610077307341004,117.18238986968996,115.8512874400604
2024-10-01,0.0041889438907413,-0.0472225663139626,0.0413768827316034,0.0252336766702775,NVDA,10,2024,Medium,0.001489724065632,62.283167396607844,4.119446368405609,125.91079454836638,129.89343713013253
2024-11-01,0.0023115794880794,-0.041775172561195,0.0489476001895596,0.024462935166438,NVDA,11,2024,Medium,0.0041889438907413,56.113804873077285,3.264078378941252,140.9418731498718,141.73318446615173
2024-12-01,-0.0011718172689549,-0.0269431846103022,0.036896813112029,0.0209580715994805,NVDA,12,2024,Medium,0.0023115794880794,47.67747861667422,-0.5875938247762579,139.84782093593054,138.24677338047627
2025-01-01,-0.0041333347829449,-0.169681648092358,0.0892587285740997,0.0537027288465223,NVDA,1,2025,High,-0.0011718172689549,49.06409661185067,-0.35465513958704237,137.35851472854614,137.3261791627172
2025-02-01,0.0026472918216078,-0.0847806085826956,0.052085935781279,0.0341315235499704,NVDA,2,2025,Medium,-0.0041333347829449,48.560977964689116,-1.5741859672866354,131.00774118523847,130.58014231189887
2025-03-01,-0.006068020473895,-0.0869356403930415,0.064275842425467,0.0372031766840752,NVDA,3,2025,Medium,0.0026472918216078,42.26993299656078,-3.9230278488578487,122.23924349830266,118.90035583285598
2025-04-01,0.0017383569925913,-0.0780655249060835,0.187227395720916,0.0574232493935452,NVDA,4,2025,High,-0.006068020473895,43.652945870746585,-3.7532037498763255,109.52154379345123,107.50469147821754
2024-05-01,0.0030013572178405,-0.0172571141580439,0.0303566151054692,0.0138508507702358,META,5,2024,Low,,50.96584057645512,0.0009974939428461353,467.9785789489746,465.2271293334113
2024-06-01,0.0042285836918495,-0.0295249677559938,0.0378834272607515,0.015462859913011,META,6,2024,Low,0.0030013572178405,61.9108987251137,7.440328995430559,482.31972592002467,489.2326574203765
2024-07-01,-0.0023610605082768,-0.0567591173824867,0.0587299618670431,0.0275675350541165,META,7,2024,Medium,0.0042285836918495,48.746720919745286,1.267217698649879,502.89124700372867,498.18773655948223
2024-08-01,0.0044456245841486,-0.0254229691694142,0.0482488603927835,0.0201808733583509,META,8,2024,Medium,-0.0023610605082768,56.87544784239049,5.030808540238522,494.6554883089932,503.50528130080454
2024-09-01,0.0048385085077108,-0.0320977296372613,0.0393158598956384,0.0146385876228968,META,9,2024,Low,0.0044456245841486,60.87282614753334,7.03197543035819,522.6996230316162,526.4214835303167
2024-10-01,-0.0002449821495967,-0.0409258665419235,0.0261521013268615,0.0161420921352213,META,10,2024,Low,0.0048385085077108,62.56521799638053,12.477227702688468,568.9912026446799,574.7966904046644
2024-11-01,0.0006986326306776,-0.039988902741042,0.03435023169234,0.0150718949096775,META,11,2024,Low,-0.0002449821495967,49.125405278198485,0.837264255851386,574.6693032836914,572.5264351978561
